,Little interest or pleasure,"Feeling down, depressed, or hopeless, Advice related",Small or too much sleep,Tired or little energy or Time related,Poor appetite or overeating,Feeling or emotion words (-ve),"Concentration trouble, addiction ","Moving or speaking very slowly, restless","Pain, hurt or death","Talking disease symptoms, diagnosis",Antidepressants,Relationship related
41,,vs_hardcore_monotheism,,,,asian_horror,,,perfect_suicide_method,bpd,,lazy_teachers
42,,thornhill_masonic_temple,,,,extroverted_teacher_friends,,,suicide_methods,detrimental_mental_illness,,ditching_student_teacher
43,,way_principles_gospel,,,,shit_ton_jericho,,,different_suicide_methods,psych_therapy,,community_really_thinking
44,,lay_holy_words,,,,disrespectful_teacher,,,think_feel_cut,dialectical_behavioral_therapy,,community_feel
45,,night_vale_fan_theories,,,,dark_souls,,,believe_hurt_self,neurotic_mental_illness,,cultural_implications
46,,night_vale_theories,,,,paranoid_thoughts_feelings,,,guilt_plus_suicides,free_therapy,,online_communities
47,,wish_release_similar,,,,disgusting_butt_stuff_mishap_nsfw,,,therapy_cut_anymore,dialectic_behavioral_therapy,,community
48,,survival_game_blew,,,,nworst_match,,,guilt_plus_suicides,mental_illness,,decade_psychiatric_community
49,,tied_medication_forever,,,,worst_match,,,suicides_school_years,intense_therapy,,damage_causes_community
50,,want_fiesta_focus,,,,darkness,,,cuts_happened_scar,mental_health,,
51,,want_complete_commitment,,,,dark_souls_solaire,,,feel_pain,hospitalization,,
52,,try_avoid_holiday,,,,bullshit_calls,,,impulses_hurt,psychiatric_community,,
53,,looking_advice_pm,,,,boring_episode,,,points_thought_death,mental_illness,,
54,,medical_advice_thanks,,,,psycho,,,damage_causes_community,depression_anxiety,,
55,,addiction_thank_advice,,,,bad_acne,,,scars_used_stimulate,current_therapist,,
56,,fix_issues_phone,,,,weird_dressing_room_picture,,,cutting_outlet_anxiety,digestive_system,,
57,,nany_advice_appreciated,,,,positive_thoughts,,,need_self_destruction,own_mental_health,,
58,,teacher_advice_thank,,,,emotion,,,blood_pain,therapist,,
59,,days_advice_help,,,,therapy_good_thank,,,started_hurting,manic_episodes,,
60,,say_thank_advice,,,,felt_felt_guilty,,,problems_cutting,counseling,,
61,,thanks_support_today,,,,cared_way_guilt,,,proud_scar_pride,mental_health_care_facility,,
62,,infected_advice_bad,,,,scar_sorry,,,cut_anymore_attention,grief_counseling_program,,
63,,advice_help_hypomania,,,,memories_childhood_bad,,,cutting_past,therapy,,
64,,advice_bpd_therapy,,,,little_scars_shameful,,,knives_nails_nervous,reset,,
65,,advice_treatment_psychiatrist,,,,sit_anxious_hate,,,explain_reason_hurt,behavioral_therapy,,
66,,try_kidnapping_edit,,,,damaging_thing_experienced,,,learn_pain_want,mindfulness_therapy,,
